family,vendor,soc,core_type,architecture_x,Year,productvendor,productmodel,productsoc_used,architecture_y,hw_model,"Cache (I , D), MMU ",Reference ,hw_ncores,hw_nthreadspercore,clock,max_clock,Wireless,Wireless2,decode,out_of_order,wide,issue,superscalar,AArch64,addressing,memory,system timer,Saturated,branch prediction,instruction fetch,AArch32,pipeline,bus_width,virtualization,transistors,dynamic code optimization,optimization cache,l0_cache,l1_cache,l2_cache,SLC,die_size,L1I_cache,L1D_cache,DSP,l3_cache,SMP,Thumb,Thumb-1,Thumb-2,coprocessor bus,floating-point unit,profile,DBX,Co-processor,FPU_x,instruction,Divide,TrustZone,NEON,SIMD,D-cache,MMU,notes,cache,VFP,ACP,GIC,SCU,VFPv3,VFPv4,VFPv5,LLPP,TCM,source,manufacturer_x,manufacturer_y,Decode width,Execution ports,Pipeline depth,Out-of-order execution,FPU_y,Pipelined VFP,FPU registers,NEON (SIMD),big.LITTLE role,Virtualization,Processor Technology,L0 cache,L1 cache,L2 cache,Core configurations,DMIPS,ARM part number ,date,Revision ,Decode ,Pipeline depth ,Out-of-orderexecution-Have ,Out-of-orderexecution-Entries,Branchprediction ,big.LITTLE role ,Execports ,SIMD ,Simult. MT ,L3 cache,Core configurations ,ARM part number (in the main ID register) 
ARM1,0,0,Classic,ARM1-6,1985,ARM,Evaluation System second processor for BBC Micro,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARM2,0,0,Classic ,ARM1-6,1986,Acorn,Archimedes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARM2,0,0,Classic ,ARM1-6,1986,Acorn,ChessMachine,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARM2,0,0,Classic ,ARM1-6,1986,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARM250,0,0,Classic ,ARM1-6,1992,Acorn,Archimedes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARM3,0,0,Classic,ARM1-6,1989,Acorn,Archimedes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARM60,0,0,Classic ,ARM1-6,1993,"3DO Interactive Multiplayer, Zarlink",GPS receiver,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARM60,0,0,Classic ,ARM1-6,1993,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARM610,0,0,Classic ,ARM1-6,1993,Acorn,Risc PC 600,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARM610,0,0,Classic ,ARM1-6,1993,Acorn,Apple,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARM610,0,0,Classic ,ARM1-6,1993,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARM700,0,0,Classic ,ARM7,1994,Acorn,Risc PC prototype CPU card,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARM710,0,0,Classic ,ARM7,1994,Acorn,Risc PC 700,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARM710a,0,0,Classic ,ARM7,1995,Acorn,Risc PC 700,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARM710a,0,0,Classic ,ARM7,1995,Acorn,A7000 (ARM7500),0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARM710a,0,0,Classic ,ARM7,1995,Acorn,A7000+ (ARM7500FE),0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARM710a,0,0,Classic ,ARM7,1995, Network Computer,ARM7500FE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARM710a,0,0,Classic ,ARM7,1995,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARM710a,0,0,Classic ,ARM7,1995,Psion,Series 5 (ARM7100),0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARM710a,0,0,Classic ,ARM7,1995,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARM7TDMI-S,Atmel,AT91SAM7,Classic ,ARM7,2001,Game Boy,Advance,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARM7TDMI-S,Atmel,AT91SAM7,Classic ,ARM7,2001,Nintendo,DS,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARM7TDMI-S,Atmel,AT91SAM7,Classic ,ARM7,2001,Nintendo,Dsi,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARM7TDMI-S,Atmel,AT91SAM7,Classic ,ARM7,2001,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARM7TDMI-S,Atmel,AT91SAM7,Classic ,ARM7,2001,Lego NXT,Juice Box,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARM7TDMI-S,Atmel,AT91SAM7,Classic ,ARM7,2001,Garmin,Navigation Devices (1990s – early 2000s),0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARM7TDMI-S,Atmel,AT91SAM7,Classic ,ARM7,2001,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARM7TDMI-S, NXP Semiconductors,LPC2xxx,Classic ,ARM7,2001,Game Boy,Advance,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARM7TDMI-S, NXP Semiconductors,LPC2xxx,Classic ,ARM7,2001,Nintendo,DS,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARM7TDMI-S, NXP Semiconductors,LPC2xxx,Classic ,ARM7,2001,Nintendo,Dsi,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
