hw_model,Features,Features Video Processing Engine (VPE),Features OpenEXR HDR,Features Scalable Link Interface (SLI),Features TurboCache,Features PureVideo WMV9 Decoding,Features Gamma-correct antialiasing,Features 64-bit OpenEXR HDR,Features Dual Link DVI,Features ScalableLinkInterface(SLI),Features 3-WaySLI,Features PureVideo HDwith VP1,"Features PureVideo 2 with VP2,BSP Engine, and AES128 Engine","Features PureVideo 3 with VP3,BSP Engine, and AES128 Engine",Features PureVideo 4 with VP4,Features Computeability,Features PureVideo 2 with VP2Engine: (BSP and 240 AES),Features PureVideo 4 with VP4 Engine,Unnamed: 4_level_0 Unnamed: 4_level_1,Unnamed: 5_level_0 Unnamed: 5_level_1
GeForce4 MX420,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
GeForce4 MX440 SE,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
GeForce4 MX4000,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
GeForce4 PCX4300,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
GeForce4 MX440,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
GeForce4 MX440 8X,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
GeForce4 MX460,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
GeForce4 Ti4200,Yes,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
GeForce4 Ti4200 8x,Yes,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
GeForce4 Ti4400,Yes,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
GeForce4 Ti4400 8x,Yes,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
GeForce4 Ti4600,Yes,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
GeForce4 Ti4600 8x,Yes,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
GeForce 6100,Yes,0,No,No,No,Limited,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
GeForce 6150 SE,Yes,0,No,No,Driver-Side Only,Limited,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
GeForce 6150,Yes,0,No,No,No,Yes,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
GeForce 6150 LE,Yes,0,No,No,Driver-Side Only,Yes,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
GeForce 6200,Yes,0,No,No,Yes (PCIe only),Yes,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
GeForce 6500,Yes,0,No,Yes,Yes,Yes,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
GeForce 6600 LE,Yes,0,Yes,Yes (No SLI Connector),No,Yes,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
GeForce 6600,Yes,0,Yes,Yes (SLI Connector or PCIe Interface),No,Yes,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
GeForce 6600 DDR2,Yes,0,Yes,Yes (SLI Connector or PCIe Interface),No,Yes,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
GeForce 6600 GT,Yes,0,Yes,Yes,No,Yes,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
GeForce 6800 LE,Yes,0,Yes,No,No,No,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
GeForce 6800 XT,Yes,0,Yes,Yes (PCIe only),No,Yes (NV42 only),0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
GeForce 6800,Yes,0,Yes,Yes (PCIe only),No,"Yes (NV41, NV42 only)",0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
GeForce 6800 GTO,Yes,0,Yes,Yes,No,No,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
GeForce 6800 GS,Yes,0,Yes,Yes (PCIe only),No,Yes (NV42 only),0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
GeForce 6800 GT,Yes,0,Yes,Yes (PCIe only),No,No,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
GeForce 6800 Ultra,Yes,0,Yes,Yes (PCIe only),No,No,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
GeForce 7100 GS,Yes,0,0,"Yes (PCIe only, No SLI bridge)",Yes,0,No,No,No,0,0,0,0,0,0,0.0,0,0,0,0
GeForce 7200 GS,Yes,0,0,No,Yes,0,Yes,Yes,No,0,0,0,0,0,0,0.0,0,0,0,0
GeForce 7300 SE,Yes,0,0,No,Yes,0,Yes,Yes,No,0,0,0,0,0,0,0.0,0,0,0,0
GeForce 7300 LE,Yes,0,0,No,Yes,0,Yes,Yes,No,0,0,0,0,0,0,0.0,0,0,0,0
GeForce 7300 GS,Yes,0,0,Yes (PCIe only),Yes,0,Yes,Yes,No,0,0,0,0,0,0,0.0,0,0,0,0
GeForce 7300 GT,Yes,0,0,"Yes (PCIe only, No SLI bridge)",No,0,Yes,Yes,One port,0,0,0,0,0,0,0.0,0,0,0,0
GeForce 7600 GS,Yes,0,0,Yes (PCIe only),No,0,Yes,Yes,One port,0,0,0,0,0,0,0.0,0,0,0,0
GeForce 7600 GT,Yes,0,0,Yes (PCIe only),No,0,Yes,Yes,One port,0,0,0,0,0,0,0.0,0,0,0,0
GeForce 7600 GT (80 nm),Yes,0,0,Yes,No,0,Yes,Yes,One port,0,0,0,0,0,0,0.0,0,0,0,0
GeForce 7650 GS (80 nm),Yes,0,0,Yes (Depending on OEM Design),No,0,Yes,Yes,One port,0,0,0,0,0,0,0.0,0,0,0,0
GeForce 7800 GS,Yes,0,0,No,No,0,Yes,Yes,One port,0,0,0,0,0,0,0.0,0,0,0,0
GeForce 7800 GT,Yes,0,0,Yes,No,0,Yes,Yes,One port,0,0,0,0,0,0,0.0,0,0,0,0
GeForce 7800 GTX,Yes,0,0,Yes,No,0,Yes,Yes,One port,0,0,0,0,0,0,0.0,0,0,0,0
GeForce 7800 GTX 512,Yes,0,0,Yes,No,0,Yes,Yes,One port,0,0,0,0,0,0,0.0,0,0,0,0
GeForce 7900 GS,Yes,0,0,Yes (PCIe only),No,0,Yes,Yes,Two ports,0,0,0,0,0,0,0.0,0,0,0,0
GeForce 7900 GT,Yes,0,0,Yes,No,0,Yes,Yes,Two ports,0,0,0,0,0,0,0.0,0,0,0,0
GeForce 7900 GTO,Yes,0,0,Yes,No,0,Yes,Yes,Two ports,0,0,0,0,0,0,0.0,0,0,0,0
